"model","failure_count"
"ST12000NM0008","144"
"TOSHIBA MG07ACA14TA","100"
"HGST HUH721212ALN604","93"
"TOSHIBA MG08ACA16TA","82"
"ST8000NM0055","79"
"HGST HUH721212ALE604","65"
"ST4000DM000","63"
"ST16000NM001G","50"
"ST12000NM001G","42"
"ST14000NM001G","41"
"ST12000NM0007","37"
"ST8000DM002","36"
"ST14000NM0138","19"
"WDC WUH721816ALE6L4","16"
"WDC WUH721414ALE6L4","12"
"TOSHIBA MG08ACA16TE","11"
"ST10000NM0086","10"
"TOSHIBA MG08ACA16TEY","10"
"WDC WUH721816ALE6L0","10"
"TOSHIBA MQ01ABF050M","9"
"TOSHIBA MQ01ABF050","8"
"WDC WUH722222ALE6L4","7"
"HGST HMS5C4040BLE640","5"
"ST500LM012 HN","5"
"TOSHIBA MG07ACA14TEY","4"
"HGST HUH721212ALE600","3"
"WD Blue SA510 2.5 250GB","3"
"HGST HMS5C4040ALE640","2"
"HGST HUH728080ALE600","2"
"ST12000NM000J","2"
"ST14000NM000J","2"
"ST500LM030","2"
"ST18000NM000J","1"
"Seagate BarraCuda 120 SSD ZA250CM10003","1"
"Seagate BarraCuda SSD ZA250CM10002","1"
"TOSHIBA HDWF180","1"