"model","device_count"
"TOSHIBA MG07ACA14TA","3458359"
"TOSHIBA MG08ACA16TA","3285527"
"ST16000NM001G","2579015"
"WDC WUH721816ALE6L4","2083984"
"ST12000NM0008","1766031"
"ST8000NM0055","1262294"
"HGST HUH721212ALE604","1198593"
"ST12000NM001G","1195601"
"ST14000NM001G","974767"
"HGST HUH721212ALN604","958729"
"HGST HMS5C4040BLE640","932237"
"ST8000DM002","839999"
"ST4000DM000","791548"
"WDC WUH721414ALE6L4","771595"
"TOSHIBA MG08ACA16TE","542396"
"TOSHIBA MG08ACA16TEY","475970"
"WDC WUH722222ALE6L4","281150"
"WDC WUH721816ALE6L0","277187"
"HGST HUH721212ALE600","237118"
"HGST HMS5C4040ALE640","160387"
"ST14000NM0138","126485"
"ST12000NM0007","104068"
"Seagate BarraCuda 120 SSD ZA250CM10003","101392"
"HGST HUH728080ALE600","100170"
"ST10000NM0086","99412"
"ST6000DX000","80262"
"TOSHIBA MG07ACA14TEY","62100"
"CT250MX500SSD1","58596"
"Seagate BarraCuda SSD ZA250CM10002","47817"
"ST16000NM002J","42133"
"DELLBOSS VD","39220"
"ST12000NM000J","23605"
"ST500LM012 HN","22620"
"ST8000NM000A","19684"
"TOSHIBA MQ01ABF050M","18443"
"ST500LM030","17671"
"TOSHIBA MQ01ABF050","17140"
"WDC WDS250G2B0A","12480"
"WDC WD5000LPVX","10908"
"Seagate IronWolf ZA250NM10002","10883"
"WD Blue SA510 2.5 250GB","10213"
"Seagate SSD","9282"
"ST14000NM000J","9097"
"HGST HUH728080ALE604","8096"
"MTFDDAV240TCB","7826"
"ST14000NM0018","6006"
"ST18000NM000J","5460"
"TOSHIBA HDWF180","5409"
"WDC WD5000LPCX","4641"
"ST16000NM000J","4451"
"WUH721816ALE6L4","4213"
"ST500LM021","2730"
"ST10000NM001G","2548"
"HGST HUS726040ALE610","2402"
"ST16000NM005G","2366"
"ST8000DM005","2184"
"HGST HUH721010ALE600","1820"
"HGST HUS728T8TALE6L4","1819"
"Seagate BarraCuda SSD ZA500CM10002","1547"
"ST4000DM005","1496"
"TOSHIBA MD04ABA400V","1103"
"ST4000DM004","756"
"ST12000NM0117","728"
"HGST HDS5C4040ALE630","696"
"WDC WD5000BPKT","637"
"HGST HUS726040ALN610","564"
"Seagate FireCuda 120 SSD ZA500GM10001","546"
"ST12000NM003G","455"
"ST6000DM001","364"
"TOSHIBA HDWE160","364"
"Seagate BarraCuda 120 SSD ZA500CM10003","273"
"Seagate BarraCuda SSD ZA2000CM10002","273"
"WDC WD60EFRX","273"
"MTFDDAV480TCB","182"
"TOSHIBA MG10ACA20TE","182"
"Hitachi HDS5C4040ALE630","180"
"HGST HDS724040ALE640","91"
"HGST HMS5C4040BLE641","91"
"SSDSCKKB240GZR","91"
"ST1000LM024 HN","91"
"ST6000DM004","91"