"date","serial_number","model"
"2024-01-01","8DGN43XH","HGST HUH721212ALE604"
"2024-01-01","ZA219EY6","ST10000NM0086"
"2024-01-01","ZHZ4VQ82","ST12000NM0008"
"2024-01-02","22G0A1J7FV8G","TOSHIBA MG08ACA16TEY"
"2024-01-02","3WKD96NK","WDC WUH721816ALE6L4"
"2024-01-02","6120A095F97G","TOSHIBA MG07ACA14TA"
"2024-01-02","88P0A091F97G","TOSHIBA MG07ACA14TA"
"2024-01-02","8HGHXP6H","HGST HUH721212ALE604"
"2024-01-02","AAG63WUH","HGST HUH721212ALN604"
"2024-01-02","ZA1814DG","ST8000NM0055"
"2024-01-02","ZHZ6CF50","ST12000NM0008"
"2024-01-02","ZLW18Q0E","ST14000NM001G"
"2024-01-03","2AGMNP5Y","HGST HUH721212ALN604"
"2024-01-03","40P0A0RWF97G","TOSHIBA MG07ACA14TA"
"2024-01-03","AAG6J2DH","HGST HUH721212ALN604"
"2024-01-03","S301GV8P","ST4000DM000"
"2024-01-03","X270A01MFVKG","TOSHIBA MG08ACA16TA"
"2024-01-03","Z302AKQM","ST4000DM000"
"2024-01-03","Z302AYMF","ST4000DM000"
"2024-01-03","ZA11R2A8","ST8000DM002"
"2024-01-03","ZA1261V0","ST8000DM002"
"2024-01-03","ZA16DWJE","ST8000NM0055"
"2024-01-03","ZA1819EV","ST8000NM0055"
"2024-01-03","ZHZ3X2LK","ST12000NM0008"
"2024-01-03","ZHZ6D3QP","ST12000NM0008"
"2024-01-03","ZL201XMM","ST16000NM001G"
"2024-01-03","ZL2PB3Z9","ST14000NM001G"
"2024-01-04","10B0A0FJF97G","TOSHIBA MG07ACA14TA"
"2024-01-04","78C0A01GF97G","TOSHIBA MG07ACA14TA"
"2024-01-04","7QT02L9B","Seagate BarraCuda 120 SSD ZA250CM10003"
"2024-01-04","AAG6LD0H","HGST HUH721212ALN604"
"2024-01-04","ZA189JTG","ST8000NM0055"
"2024-01-04","ZCH06VE2","ST12000NM0007"
"2024-01-04","ZHZ30GBZ","ST14000NM0138"
"2024-01-04","ZHZ4MKHN","ST12000NM0008"
"2024-01-04","ZHZ50M55","ST12000NM0008"
"2024-01-04","ZJV16QF8","ST12000NM0007"
"2024-01-05","1290A07FFVKG","TOSHIBA MG08ACA16TA"
"2024-01-05","13R0A09LFVKG","TOSHIBA MG08ACA16TA"
"2024-01-05","13X0A04SFVKG","TOSHIBA MG08ACA16TA"
"2024-01-05","20W0A0SRF97G","TOSHIBA MG07ACA14TA"
"2024-01-05","52U0A01QFVKG","TOSHIBA MG08ACA16TA"
"2024-01-05","6210A03AFVKG","TOSHIBA MG08ACA16TA"
"2024-01-05","AAG6NVMH","HGST HUH721212ALN604"
"2024-01-05","ZA13R4EC","ST8000DM002"
"2024-01-05","ZA153T9M","ST8000NM0055"
"2024-01-05","ZHZ41BV1","ST14000NM0138"
"2024-01-05","ZHZ4VWV3","ST12000NM0008"
"2024-01-05","ZHZ50M4L","ST12000NM0008"
"2024-01-05","ZHZ50R4E","ST12000NM0008"
"2024-01-05","ZJV3BMD1","ST12000NM0007"
"2024-01-05","ZL209CRX","ST14000NM001G"
"2024-01-05","ZL232KSV","ST16000NM001G"
"2024-01-05","ZLW0GKL8","ST12000NM001G"
"2024-01-06","2AGBN0AY","HGST HUH721212ALN604"
"2024-01-06","2AGME3UY","HGST HUH721212ALN604"
"2024-01-06","33Q0A007F9RG","TOSHIBA MG07ACA14TEY"
"2024-01-06","33R0A00BF9RG","TOSHIBA MG07ACA14TEY"
"2024-01-06","6250A1PXFVKG","TOSHIBA MG08ACA16TA"
"2024-01-06","8DHWN1BH","HGST HUH721212ALE604"
"2024-01-06","ZHZ511SW","ST12000NM0008"
"2024-01-06","ZLW17S9H","ST14000NM001G"
"2024-01-06","ZLW18S5F","ST14000NM001G"
"2024-01-07","2CJAE27N","WDC WUH721816ALE6L0"
"2024-01-07","5PHLAGPD","HGST HUH721212ALE604"
"2024-01-07","8DJ142RH","HGST HUH721212ALE604"
"2024-01-07","X8K0A00AF97G","TOSHIBA MG07ACA14TA"
"2024-01-07","Z302SYWC","ST4000DM000"
"2024-01-07","Z305CKGM","ST4000DM000"
"2024-01-07","Z305D6XL","ST4000DM000"
"2024-01-07","Z850A03VF97G","TOSHIBA MG07ACA14TA"
"2024-01-07","ZA180QWZ","ST8000NM0055"
"2024-01-07","ZHZ4WRWR","ST12000NM0008"
"2024-01-07","ZHZ52CHV","ST12000NM0008"
"2024-01-08","10L0A0EFFV8G","TOSHIBA MG08ACA16TEY"
"2024-01-08","2AGKNKMY","HGST HUH721212ALN604"
"2024-01-08","6240A1KGFVKG","TOSHIBA MG08ACA16TA"
"2024-01-08","7030A06TF97G","TOSHIBA MG07ACA14TA"
"2024-01-08","AAG2SVDH","HGST HUH721212ALN604"
"2024-01-08","AAG3W8WH","HGST HUH721212ALN604"
"2024-01-08","Z305D2F1","ST4000DM000"
"2024-01-08","ZA12ZCRS","ST8000DM002"
"2024-01-08","ZHZ30YZ1","ST14000NM0138"
"2024-01-08","ZHZ4Q2RC","ST12000NM0008"
"2024-01-08","ZHZ4VPN6","ST12000NM0008"
"2024-01-08","ZHZ4YEKG","ST12000NM0008"
"2024-01-08","ZJV3CFF7","ST12000NM0007"
"2024-01-08","ZL005C8G","ST12000NM0008"
"2024-01-08","ZL230LVA","ST16000NM001G"
"2024-01-08","ZL2CH57D","ST14000NM001G"
"2024-01-08","ZL2CS1ZQ","ST14000NM001G"
"2024-01-09","2GK3451V","WDC WUH722222ALE6L4"
"2024-01-09","2MHJ0AZG","WDC WUH721816ALE6L4"
"2024-01-09","4BJE89RV","WDC WUH721816ALE6L4"
"2024-01-09","8CGUMP9E","HGST HUH721212ALN604"
"2024-01-09","8DJ68W2H","HGST HUH721212ALE604"
"2024-01-09","AAG27YWH","HGST HUH721212ALN604"
"2024-01-09","AAHLBY4H","HGST HUH721212ALN604"
"2024-01-09","ZA180R2M","ST8000NM0055"
"2024-01-09","ZDEB336R","ST500LM030"
"2024-01-09","ZHZ39PD5","ST12000NM0008"
"2024-01-09","ZJV4TLS8","ST12000NM0007"
"2024-01-09","ZL0054YQ","ST12000NM0008"
"2024-01-09","ZL23WSR5","ST16000NM001G"
"2024-01-09","ZL2H8G8V","ST16000NM001G"
"2024-01-09","ZLW0EGTN","ST12000NM001G"
"2024-01-09","ZLW0GQBL","ST12000NM001G"
"2024-01-10","177QT3DRT","TOSHIBA MQ01ABF050M"
"2024-01-10","51R0A17DFVGG","TOSHIBA MG08ACA16TE"
"2024-01-10","6210A0RXFVKG","TOSHIBA MG08ACA16TA"
"2024-01-10","6250A1L0FVKG","TOSHIBA MG08ACA16TA"
"2024-01-10","71R0A0RQFV8G","TOSHIBA MG08ACA16TEY"
"2024-01-10","8CGLB5NG","HGST HUH721212ALE600"
"2024-01-10","AAH92EUH","HGST HUH721212ALN604"
"2024-01-10","Z810A002F97G","TOSHIBA MG07ACA14TA"
"2024-01-10","ZA13RHFR","ST8000DM002"
"2024-01-10","ZA16YGL5","ST8000NM0055"
"2024-01-10","ZA21DWGR","ST10000NM0086"
"2024-01-10","ZL2K6C71","ST16000NM001G"
"2024-01-11","5QGYH27F","HGST HUH721212ALE604"
"2024-01-11","6210A0VYFVKG","TOSHIBA MG08ACA16TA"
"2024-01-11","8230A0XRFVKG","TOSHIBA MG08ACA16TA"
"2024-01-11","D5GGZ0WM","HGST HUH721212ALE604"
"2024-01-11","X8D0A05XF97G","TOSHIBA MG07ACA14TA"
"2024-01-11","Z305PDJ0","ST4000DM000"
"2024-01-11","ZA171V6H","ST8000NM0055"
"2024-01-11","ZA21FC0F","ST10000NM0086"
"2024-01-11","ZJV3AESB","ST12000NM0007"
"2024-01-11","ZLW0G6VR","ST12000NM001G"
"2024-01-12","2AGM8KYY","HGST HUH721212ALN604"
"2024-01-12","2BJB89VD","WDC WUH721816ALE6L0"
"2024-01-12","2GK316XV","WDC WUH722222ALE6L4"
"2024-01-12","6250A12BFVKG","TOSHIBA MG08ACA16TA"
"2024-01-12","8160A0E0FVKG","TOSHIBA MG08ACA16TA"
"2024-01-12","8220A1QEFVKG","TOSHIBA MG08ACA16TA"
"2024-01-12","ZA11B1YX","ST8000DM002"
"2024-01-12","ZA12RB5Q","ST8000DM002"
"2024-01-12","ZA144S00","ST8000NM0055"
"2024-01-12","ZA18158W","ST8000NM0055"
"2024-01-12","ZA1ER6HQ","ST8000NM0055"
"2024-01-12","ZHZ3RKND","ST12000NM0008"
"2024-01-12","ZHZ3RL4M","ST12000NM0008"
"2024-01-12","ZHZ50QR3","ST12000NM0008"
"2024-01-12","ZHZ62M7G","ST12000NM0008"
"2024-01-12","ZL22ZHNZ","ST16000NM001G"
"2024-01-12","ZL2CS3TX","ST14000NM001G"
"2024-01-12","ZLW0G7QX","ST12000NM001G"
"2024-01-13","Z3041H7Z","ST4000DM000"
"2024-01-13","Z305D66Q","ST4000DM000"
"2024-01-13","Z830A010F97G","TOSHIBA MG07ACA14TA"
"2024-01-13","ZHZ3PVQF","ST14000NM0138"
"2024-01-13","ZHZ4YETC","ST12000NM0008"
"2024-01-13","ZL2L9J7F","ST16000NM001G"
"2024-01-14","7030A07AF97G","TOSHIBA MG07ACA14TA"
"2024-01-14","8CJ6LP2E","HGST HUH721212ALE604"
"2024-01-14","8DHRLZXH","HGST HUH721212ALE604"
"2024-01-14","8HH7A74H","HGST HUH721212ALE604"
"2024-01-14","PL1331LAGSGVLH","HGST HMS5C4040ALE640"
"2024-01-14","QGK6RZZT","WDC WUH721414ALE6L4"
"2024-01-14","Z305PGCW","ST4000DM000"
"2024-01-14","Z305PH38","ST4000DM000"
"2024-01-14","ZA1818CL","ST8000NM0055"
"2024-01-14","ZHZ62F05","ST12000NM0008"
"2024-01-15","40X0A06RF97G","TOSHIBA MG07ACA14TA"
"2024-01-15","5070A02FF97G","TOSHIBA MG07ACA14TA"
"2024-01-15","AAG6NWBH","HGST HUH721212ALN604"
"2024-01-15","ZLW0EFRA","ST12000NM001G"
"2024-01-16","2BJ30MMN","WDC WUH721816ALE6L4"
"2024-01-16","33R0A0DRFVKG","TOSHIBA MG08ACA16TA"
"2024-01-16","5641SFRUS","TOSHIBA MQ01ABF050"
"2024-01-16","8280A02UFVKG","TOSHIBA MG08ACA16TA"
"2024-01-16","AAG6NVJH","HGST HUH721212ALN604"
"2024-01-16","Z305KX50","ST4000DM000"
"2024-01-16","ZA126H5N","ST8000DM002"
"2024-01-16","ZA14ESCH","ST8000NM0055"
"2024-01-16","ZHZ3NWHT","ST14000NM0138"
"2024-01-16","ZHZ5ZHBD","ST12000NM0008"
"2024-01-16","ZL2L9HWZ","ST16000NM001G"
"2024-01-16","ZLW0C6YP","ST12000NM001G"
"2024-01-16","ZLW18EN3","ST14000NM001G"
"2024-01-17","10C0A01DF97G","TOSHIBA MG07ACA14TA"
"2024-01-17","2250A03BFVKG","TOSHIBA MG08ACA16TA"
"2024-01-17","5080A14JF97G","TOSHIBA MG07ACA14TA"
"2024-01-17","6280A0K3FVKG","TOSHIBA MG08ACA16TA"
"2024-01-17","71A0A0H6FVGG","TOSHIBA MG08ACA16TE"
"2024-01-17","X1L0A01QFVKG","TOSHIBA MG08ACA16TA"
"2024-01-17","X880A0DKF97G","TOSHIBA MG07ACA14TA"
"2024-01-17","Z3059HWT","ST4000DM000"
"2024-01-17","Z305D6ND","ST4000DM000"
"2024-01-17","Z305DV3E","ST4000DM000"
"2024-01-17","ZA180FSX","ST8000NM0055"
"2024-01-17","ZA180XHV","ST8000NM0055"
"2024-01-17","ZA1814KH","ST8000NM0055"
"2024-01-17","ZHZ3RAYW","ST12000NM0008"
"2024-01-17","ZLW0H3KG","ST12000NM001G"
"2024-01-18","10K0A08QF97G","TOSHIBA MG07ACA14TA"
"2024-01-18","6280A0RKFVKG","TOSHIBA MG08ACA16TA"
"2024-01-18","X8A0A00EF97G","TOSHIBA MG07ACA14TA"
"2024-01-18","Z305D35W","ST4000DM000"
"2024-01-18","ZA189K4X","ST8000NM0055"
"2024-01-18","ZHZ607L4","ST12000NM0008"
"2024-01-18","ZHZ635WW","ST12000NM0008"
"2024-01-18","ZL23G5WW","ST16000NM001G"
"2024-01-18","ZL23XS1F","ST16000NM001G"
"2024-01-18","ZL2NFZ4J","ST16000NM001G"
"2024-01-18","ZLW0GHBZ","ST12000NM001G"
"2024-01-19","AAG4T17H","HGST HUH721212ALE604"
"2024-01-19","AAG5YHVH","HGST HUH721212ALN604"
"2024-01-19","X880A0ASF97G","TOSHIBA MG07ACA14TA"
"2024-01-19","Z305B6SV","ST4000DM000"
"2024-01-19","Z305JVK6","ST4000DM000"
"2024-01-19","ZHZ0RH56","ST12000NM0008"
"2024-01-19","ZHZ3F000","ST12000NM0008"
"2024-01-19","ZHZ52RB5","ST12000NM0008"
"2024-01-19","ZL23XB4T","ST16000NM001G"
"2024-01-19","ZLW18ECW","ST14000NM001G"
"2024-01-20","2AGMSSTY","HGST HUH721212ALN604"
"2024-01-20","2CJZY4DN","WDC WUH721816ALE6L4"
"2024-01-20","5080A10LF97G","TOSHIBA MG07ACA14TA"
"2024-01-20","5PH9X8UE","HGST HUH721212ALE604"
"2024-01-20","5PJ1KZXD","HGST HUH721212ALE604"
"2024-01-20","AAHL0UEH","HGST HUH721212ALN604"
"2024-01-20","Z305D2MJ","ST4000DM000"
"2024-01-20","Z305DVP8","ST4000DM000"
"2024-01-20","ZA16CMP1","ST8000NM0055"
"2024-01-20","ZHZ4GD4Y","ST12000NM0008"
"2024-01-20","ZHZ63CJW","ST12000NM0008"
"2024-01-20","ZJV3B4SA","ST12000NM0007"
"2024-01-20","ZR60GS9Q","ST14000NM000J"
"2024-01-21","20W0A089F97G","TOSHIBA MG07ACA14TA"
"2024-01-21","8CH5H01E","HGST HUH721212ALN604"
"2024-01-21","8HGL472H","HGST HUH721212ALE604"
"2024-01-21","AAG6AWGH","HGST HUH721212ALN604"
"2024-01-21","ZA138AJ0","ST8000NM0055"
"2024-01-21","ZHZ3DMW1","ST14000NM0138"
"2024-01-21","ZTM072X1","ST14000NM001G"
"2024-01-22","2AGM9JEY","HGST HUH721212ALN604"
"2024-01-22","2AGN64YY","HGST HUH721212ALN604"
"2024-01-22","57RFWNHIT","TOSHIBA MQ01ABF050"
"2024-01-22","70K0A0NGF97G","TOSHIBA MG07ACA14TA"
"2024-01-22","8HK2T93H","HGST HUH721212ALN604"
"2024-01-22","AAG53Y2H","HGST HUH721212ALN604"
"2024-01-22","ZA2191YJ","ST10000NM0086"
"2024-01-22","ZHZ4PDRF","ST12000NM0008"
"2024-01-22","ZJV4TLLS","ST12000NM0007"
"2024-01-22","ZL230LKX","ST16000NM001G"
"2024-01-22","ZL23SG2C","ST16000NM001G"
"2024-01-23","2GK33HKV","WDC WUH722222ALE6L4"
"2024-01-23","2PHV0RGJ","WDC WUH721816ALE6L4"
"2024-01-23","5PHKUUGD","HGST HUH721212ALE604"
"2024-01-23","5PHKUVJD","HGST HUH721212ALE604"
"2024-01-23","8DGMRS4D","HGST HUH721212ALE604"
"2024-01-23","8HK4TAPH","HGST HUH721212ALN604"
"2024-01-23","9MH5X7LJ","WDC WUH721414ALE6L4"
"2024-01-23","Z305KBHL","ST4000DM000"
"2024-01-23","ZHZ65ECR","ST12000NM0008"
"2024-01-23","ZL005D5P","ST12000NM0008"
"2024-01-23","ZL23XFWW","ST16000NM001G"
"2024-01-23","ZL23XZ99","ST16000NM001G"
"2024-01-24","2BJ1G3LN","WDC WUH721816ALE6L4"
"2024-01-24","2GK32TXV","WDC WUH722222ALE6L4"
"2024-01-24","5PHL1BHD","HGST HUH721212ALE604"
"2024-01-24","5PHP9G3D","HGST HUH721212ALE604"
"2024-01-24","7LZ026L3","Seagate BarraCuda SSD ZA250CM10002"
"2024-01-24","8CGUJU6E","HGST HUH721212ALN604"
"2024-01-24","X870A0Q1F97G","TOSHIBA MG07ACA14TA"
"2024-01-24","X880A04MF97G","TOSHIBA MG07ACA14TA"
"2024-01-24","Y0E0A00XF97G","TOSHIBA MG07ACA14TA"
"2024-01-24","ZJV0EMAB","ST12000NM0007"
"2024-01-24","ZJV3A3JL","ST12000NM0007"
"2024-01-24","ZJV3AZ43","ST12000NM0007"
"2024-01-24","ZL23XS6M","ST16000NM001G"
"2024-01-24","ZL2CVV22","ST14000NM001G"
"2024-01-24","ZLW15THD","ST14000NM001G"
"2024-01-24","ZLW16QND","ST14000NM001G"
"2024-01-24","ZTN0AMY1","ST12000NM001G"
"2024-01-25","2BJB98SD","WDC WUH721816ALE6L0"
"2024-01-25","2CJB5BPJ","WDC WUH721816ALE6L0"
"2024-01-25","5PH9PKYF","HGST HUH721212ALE604"
"2024-01-25","92L0A14LFVKG","TOSHIBA MG08ACA16TA"
"2024-01-25","AAG6KW1H","HGST HUH721212ALN604"
"2024-01-25","Z305D5XA","ST4000DM000"
"2024-01-25","Z305PTSS","ST4000DM000"
"2024-01-25","ZA14EB9E","ST8000NM0055"
"2024-01-25","ZA180YZL","ST8000NM0055"
"2024-01-25","ZLW00HSC","ST12000NM001G"
"2024-01-26","563ESIXHS","TOSHIBA MQ01ABF050"
"2024-01-26","5PJABBTD","HGST HUH721212ALE604"
"2024-01-26","AAG6LELH","HGST HUH721212ALN604"
"2024-01-26","Z2A0A00TF97G","TOSHIBA MG07ACA14TA"
"2024-01-26","Z304JJDE","ST4000DM000"
"2024-01-26","Z305DW4N","ST4000DM000"
"2024-01-26","ZHZ50M1Q","ST12000NM0008"
"2024-01-26","ZHZ65823","ST12000NM0008"
"2024-01-26","ZJV0NPT1","ST12000NM0007"
"2024-01-27","QBK1A5PT","WDC WUH721414ALE6L4"
"2024-01-27","Z304HKGN","ST4000DM000"
"2024-01-27","Z304JL8L","ST4000DM000"
"2024-01-27","ZA12HZZV","ST8000DM002"
"2024-01-27","ZA13ZE8H","ST8000DM002"
"2024-01-27","ZA16DY7Q","ST8000NM0055"
"2024-01-27","ZHZ3X9X0","ST12000NM0008"
"2024-01-27","ZL009B2Q","ST12000NM0008"
"2024-01-28","2BJAU92D","WDC WUH721816ALE6L4"
"2024-01-28","8230A182FVKG","TOSHIBA MG08ACA16TA"
"2024-01-28","8DKN513H","HGST HUH721212ALE604"
"2024-01-28","X870A0NKF97G","TOSHIBA MG07ACA14TA"
"2024-01-28","Z305D680","ST4000DM000"
"2024-01-28","ZA12935E","ST8000DM002"
"2024-01-28","ZA12L4NW","ST8000DM002"
"2024-01-28","ZA12QCA7","ST8000DM002"
"2024-01-28","ZA134JQQ","ST8000NM0055"
"2024-01-28","ZHZ3QV3R","ST12000NM0008"
"2024-01-28","ZHZ3WYNP","ST12000NM0008"
"2024-01-28","ZJV3AA85","ST12000NM0007"
"2024-01-28","ZJV3BDAH","ST12000NM0007"
"2024-01-29","20H0A0WUF97G","TOSHIBA MG07ACA14TA"
"2024-01-29","2AGMNG2Y","HGST HUH721212ALN604"
"2024-01-29","57QEWPYBT","TOSHIBA MQ01ABF050"
"2024-01-29","Y8T0A02PF97G","TOSHIBA MG07ACA14TA"
"2024-01-29","Z79KT7BJT","TOSHIBA MQ01ABF050M"
"2024-01-29","ZA142RY4","ST8000DM002"
"2024-01-29","ZA153T7M","ST8000NM0055"
"2024-01-29","ZL005187","ST12000NM0008"
"2024-01-30","7030A00CF97G","TOSHIBA MG07ACA14TA"
"2024-01-30","8HHAY98H","HGST HUH721212ALE604"
